"","geo_code1","geo_code2","all","from_home","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","geo_name1","geo_name2","la_1","la_2"
"156","E02002331","E02002414",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 002","Leeds 085","Leeds","Leeds"
"157","E02002331","E02002416",7,0,0,0,1,0,0,5,1,0,0,0,"Leeds 002","Leeds 087","Leeds","Leeds"
"158","E02002331","E02002418",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 089","Leeds","Leeds"
"159","E02002331","E02002419",9,0,0,0,0,0,0,9,0,0,0,0,"Leeds 002","Leeds 090","Leeds","Leeds"
"160","E02002331","E02002420",3,0,0,0,2,0,0,1,0,0,0,0,"Leeds 002","Leeds 091","Leeds","Leeds"
"161","E02002331","E02002422",3,0,0,0,0,0,0,2,0,0,1,0,"Leeds 002","Leeds 093","Leeds","Leeds"
"162","E02002331","E02002424",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 095","Leeds","Leeds"
"163","E02002331","E02002425",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 096","Leeds","Leeds"
"164","E02002331","E02002426",2,0,0,0,0,0,0,1,0,0,1,0,"Leeds 002","Leeds 097","Leeds","Leeds"
"165","E02002331","E02002427",4,0,0,0,0,0,0,1,1,0,2,0,"Leeds 002","Leeds 098","Leeds","Leeds"
"166","E02002331","E02002428",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 002","Leeds 099","Leeds","Leeds"
"167","E02002331","E02002430",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 101","Leeds","Leeds"
"168","E02002331","E02002432",2,0,0,0,0,0,0,1,0,0,1,0,"Leeds 002","Leeds 103","Leeds","Leeds"
"169","E02002331","E02002435",8,0,0,0,0,0,0,5,3,0,0,0,"Leeds 002","Leeds 106","Leeds","Leeds"
"170","E02002331","E02002436",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 107","Leeds","Leeds"
"171","E02002331","E02006852",6,0,0,0,1,0,0,5,0,0,0,0,"Leeds 002","Leeds 109","Leeds","Leeds"
"172","E02002331","E02006861",6,0,0,0,0,0,0,6,0,0,0,0,"Leeds 002","Leeds 110","Leeds","Leeds"
"173","E02002331","E02006875",144,0,0,0,21,0,1,103,12,1,6,0,"Leeds 002","Leeds 111","Leeds","Leeds"
"174","E02002331","E02006876",17,0,0,0,1,0,1,14,1,0,0,0,"Leeds 002","Leeds 112","Leeds","Leeds"
"175","E02002332","E02002331",14,0,0,0,0,0,0,13,1,0,0,0,"Leeds 003","Leeds 002","Leeds","Leeds"
"176","E02002332","E02002332",182,0,0,1,1,1,0,69,7,5,98,0,"Leeds 003","Leeds 003","Leeds","Leeds"
"177","E02002332","E02002333",509,0,0,1,24,4,5,237,41,8,188,1,"Leeds 003","Leeds 004","Leeds","Leeds"
"178","E02002332","E02002334",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 003","Leeds 005","Leeds","Leeds"
"179","E02002332","E02002335",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 003","Leeds 006","Leeds","Leeds"
"180","E02002332","E02002336",118,0,0,0,10,1,1,83,12,2,9,0,"Leeds 003","Leeds 007","Leeds","Leeds"
"181","E02002332","E02002337",25,0,0,0,5,0,0,17,2,1,0,0,"Leeds 003","Leeds 008","Leeds","Leeds"
"182","E02002332","E02002338",37,0,0,0,0,0,0,34,3,0,0,0,"Leeds 003","Leeds 009","Leeds","Leeds"
"183","E02002332","E02002339",29,0,0,0,5,0,0,21,2,1,0,0,"Leeds 003","Leeds 010","Leeds","Leeds"
"184","E02002332","E02002340",13,0,0,0,1,0,0,10,1,0,1,0,"Leeds 003","Leeds 011","Leeds","Leeds"
"185","E02002332","E02002341",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 003","Leeds 012","Leeds","Leeds"
"186","E02002332","E02002342",2,0,0,0,1,0,0,1,0,0,0,0,"Leeds 003","Leeds 013","Leeds","Leeds"
"187","E02002332","E02002343",10,0,0,0,1,0,0,8,1,0,0,0,"Leeds 003","Leeds 014","Leeds","Leeds"
"188","E02002332","E02002344",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 003","Leeds 015","Leeds","Leeds"
"189","E02002332","E02002345",14,0,0,0,7,0,0,7,0,0,0,0,"Leeds 003","Leeds 016","Leeds","Leeds"
"190","E02002332","E02002346",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 003","Leeds 017","Leeds","Leeds"
"191","E02002332","E02002347",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 003","Leeds 018","Leeds","Leeds"
"192","E02002332","E02002348",10,0,0,0,1,0,0,9,0,0,0,0,"Leeds 003","Leeds 019","Leeds","Leeds"
"193","E02002332","E02002349",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 003","Leeds 020","Leeds","Leeds"
"194","E02002332","E02002350",20,0,0,0,2,0,0,15,3,0,0,0,"Leeds 003","Leeds 021","Leeds","Leeds"
"195","E02002332","E02002354",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 003","Leeds 025","Leeds","Leeds"
"196","E02002332","E02002356",24,0,0,0,1,0,0,23,0,0,0,0,"Leeds 003","Leeds 027","Leeds","Leeds"
"197","E02002332","E02002357",15,0,0,0,2,0,0,13,0,0,0,0,"Leeds 003","Leeds 028","Leeds","Leeds"
"198","E02002332","E02002358",10,0,0,0,0,0,0,10,0,0,0,0,"Leeds 003","Leeds 029","Leeds","Leeds"
"199","E02002332","E02002361",4,0,0,0,1,0,0,2,1,0,0,0,"Leeds 003","Leeds 032","Leeds","Leeds"
"200","E02002332","E02002362",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 003","Leeds 033","Leeds","Leeds"
"201","E02002332","E02002363",9,0,0,0,1,0,0,8,0,0,0,0,"Leeds 003","Leeds 034","Leeds","Leeds"
"202","E02002332","E02002364",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 003","Leeds 035","Leeds","Leeds"
"203","E02002332","E02002366",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 003","Leeds 037","Leeds","Leeds"
"204","E02002332","E02002368",5,0,0,0,0,0,0,4,0,0,1,0,"Leeds 003","Leeds 039","Leeds","Leeds"
"205","E02002332","E02002369",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 003","Leeds 040","Leeds","Leeds"
"206","E02002332","E02002371",6,0,0,0,0,0,0,6,0,0,0,0,"Leeds 003","Leeds 042","Leeds","Leeds"
"207","E02002332","E02002373",4,0,0,0,1,0,0,3,0,0,0,0,"Leeds 003","Leeds 044","Leeds","Leeds"
"208","E02002332","E02002374",7,0,0,0,3,0,0,4,0,0,0,0,"Leeds 003","Leeds 045","Leeds","Leeds"
"209","E02002332","E02002375",5,0,0,0,0,1,0,4,0,0,0,0,"Leeds 003","Leeds 046","Leeds","Leeds"
"210","E02002332","E02002377",4,0,0,0,1,0,0,3,0,0,0,0,"Leeds 003","Leeds 048","Leeds","Leeds"
"211","E02002332","E02002380",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 003","Leeds 051","Leeds","Leeds"
"212","E02002332","E02002381",2,0,0,0,0,0,0,1,0,0,1,0,"Leeds 003","Leeds 052","Leeds","Leeds"
"213","E02002332","E02002382",4,0,0,0,0,0,0,2,1,0,1,0,"Leeds 003","Leeds 053","Leeds","Leeds"
"214","E02002332","E02002384",13,0,0,1,0,0,0,10,0,2,0,0,"Leeds 003","Leeds 055","Leeds","Leeds"
"215","E02002332","E02002385",10,0,0,0,0,0,1,8,0,1,0,0,"Leeds 003","Leeds 056","Leeds","Leeds"
